temporada_atual,rodada_atual,id_piloto_atual,posicao_quali_atual,q1_atual,q2_atual,q3_atual,target,id_circuito_atual,id_equipe_atual,grid_anterior,posicao_ultima_corrida,posicao_equipe_anterior,pontos_equipe_anterior,vitorias_equipe_anterior,dif_para_pole_atual,pontos_anterior,posicao_camp_anterior,num_vitorias_anterior,media_ultimas_3_anterior,media_ultimas_5_anterior,qtde_abandonos_anterior,media_posicao_ganha_anterior,tendencia_desempenho,temp_ar_media,temp_pista_media,umidade_media,corrida_molhada,perc_voltas_chuva
2024,3,russell,7,77062.0,76901.0,76724.0,17,albert_park,mercedes,7,6,4,26,0,809.0,18,4.0,0,5.5,5.5,0,-0.5,0.0,20.62,38.4,44.45,0,0.0
2024,3,sainz,2,76731.0,76189.0,76185.0,1,albert_park,ferrari,,,2,49,0,270.0,15,6.0,0,3.0,3.0,0,1.0,0.0,20.62,38.4,44.45,0,0.0
2024,3,stroll,9,77376.0,76780.0,77072.0,6,albert_park,aston_martin,10,19,5,13,0,1157.0,1,12.0,0,10.0,10.0,0,2.0,0.0,20.62,38.4,44.45,0,0.0
2024,3,tsunoda,8,77356.0,76791.0,76788.0,7,albert_park,rb,9,15,9,0,0,873.0,0,18.0,0,14.5,14.5,0,-4.5,0.0,20.62,38.4,44.45,0,0.0
2024,3,zhou,19,78188.0,,,15,albert_park,sauber,20,18,8,0,0,,0,14.0,0,14.5,14.5,0,4.0,0.0,20.62,38.4,44.45,0,0.0
2024,4,albon,14,89963.0,89714.0,,20,suzuka,williams,12,11,8,0,0,,0,15.0,0,12.33,12.33,0,0.0,0.0,21.69,37.5,43.43,0,0.0
2024,4,alonso,5,89254.0,89082.0,88686.0,6,suzuka,aston_martin,10,8,5,25,0,489.0,16,8.0,0,7.33,7.33,0,-0.67,0.0,21.69,37.5,43.43,0,0.0
2024,4,bottas,13,89602.0,89593.0,,14,suzuka,sauber,13,14,9,0,0,,0,20.0,0,16.67,16.67,0,-1.67,0.0,21.69,37.5,43.43,0,0.0
2024,4,gasly,17,90119.0,,,16,suzuka,alpine,17,13,10,0,0,,0,19.0,0,15.5,15.5,1,3.0,0.0,21.69,37.5,43.43,0,0.0
2024,4,hamilton,7,89661.0,88887.0,88766.0,9,suzuka,mercedes,11,18,4,26,0,569.0,8,10.0,0,8.0,8.0,0,0.5,0.0,21.69,37.5,43.43,0,0.0
2024,4,hulkenberg,12,89821.0,89494.0,,11,suzuka,haas,16,9,7,4,0,,3,13.0,0,11.67,11.67,0,2.0,0.0,21.69,37.5,43.43,0,0.0
2024,4,kevin_magnussen,18,90131.0,,,13,suzuka,haas,14,10,7,4,0,,1,14.0,0,11.33,11.33,0,2.67,0.0,21.69,37.5,43.43,0,0.0
2024,4,leclerc,8,89338.0,89196.0,88786.0,4,suzuka,ferrari,4,2,2,93,1,589.0,47,2.0,0,3.0,3.0,0,-0.33,0.0,21.69,37.5,43.43,0,0.0
2024,4,max_verstappen,1,88866.0,88740.0,88197.0,1,suzuka,red_bull,1,19,1,97,2,0.0,51,1.0,2,1.0,1.0,0,0.0,0.0,21.69,37.5,43.43,0,0.0
2024,4,norris,3,89536.0,88940.0,88489.0,5,suzuka,mclaren,3,3,3,55,0,292.0,27,6.0,0,5.67,5.67,0,-0.33,0.0,21.69,37.5,43.43,0,0.0
2024,4,ocon,15,89811.0,89816.0,,15,suzuka,alpine,15,16,10,0,0,,0,18.0,0,15.33,15.33,0,1.67,0.0,21.69,37.5,43.43,0,0.0
2024,4,perez,2,89303.0,88752.0,88263.0,2,suzuka,red_bull,6,5,1,97,2,66.0,46,3.0,0,3.0,3.0,0,1.67,0.0,21.69,37.5,43.43,0,0.0
2024,4,piastri,6,89425.0,89148.0,88760.0,8,suzuka,mclaren,5,4,3,55,0,563.0,28,5.0,0,5.33,5.33,0,0.67,0.0,21.69,37.5,43.43,0,0.0
2024,4,ricciardo,11,89727.0,89472.0,,19,suzuka,rb,18,12,6,6,0,,0,17.0,0,13.67,13.67,0,1.67,0.0,21.69,37.5,43.43,0,0.0
2024,4,russell,9,89799.0,89140.0,89008.0,7,suzuka,mercedes,7,17,4,26,0,811.0,18,7.0,0,9.33,9.33,0,-3.67,0.0,21.69,37.5,43.43,0,0.0
2024,4,sainz,4,89513.0,89099.0,88682.0,3,suzuka,ferrari,2,1,2,93,1,485.0,40,4.0,1,2.0,2.0,0,1.0,0.0,21.69,37.5,43.43,0,0.0
2024,4,sargeant,19,90139.0,,,17,suzuka,williams,,,8,0,0,,0,21.0,0,17.0,17.0,0,1.5,0.0,21.69,37.5,43.43,0,0.0
2024,4,stroll,16,90024.0,,,12,suzuka,aston_martin,9,6,5,25,0,,9,9.0,0,8.0,8.0,1,2.5,0.0,21.69,37.5,43.43,0,0.0
2024,4,tsunoda,10,89775.0,89417.0,89413.0,10,suzuka,rb,8,7,6,6,0,1216.0,6,11.0,0,12.0,12.0,0,-2.67,0.0,21.69,37.5,43.43,0,0.0
2024,4,zhou,20,90143.0,,,18,suzuka,sauber,19,15,9,0,0,,0,16.0,0,14.67,14.67,0,4.0,0.0,21.69,37.5,43.43,0,0.0
2024,5,albon,14,95384.0,95241.0,,12,shanghai,williams,14,20,8,0,0,,0,15.0,0,11.0,12.33,0,1.0,-1.33,18.64,29.79,66.06,0,0.0
2024,5,alonso,3,95116.0,94652.0,94148.0,7,shanghai,aston_martin,5,6,5,33,0,488.0,24,8.0,0,6.33,7.0,0,0.0,-0.67,18.64,29.79,66.06,0,0.0
2024,5,bottas,10,95169.0,94769.0,94665.0,20,shanghai,sauber,13,14,9,0,0,1005.0,0,20.0,0,15.0,16.0,0,-1.0,-1.0,18.64,29.79,66.06,0,0.0
2024,5,gasly,15,95287.0,95463.0,,13,shanghai,alpine,17,16,10,0,0,,0,19.0,0,14.5,15.67,1,2.5,-1.17,18.64,29.79,66.06,0,0.0
2024,5,hamilton,18,95573.0,,,9,shanghai,mercedes,7,9,4,34,0,,10,9.0,0,9.0,8.33,1,-1.5,0.67,18.64,29.79,66.06,0,0.0
2024,5,hulkenberg,9,95068.0,94667.0,94604.0,10,shanghai,haas,12,11,7,4,0,944.0,3,13.0,0,10.0,11.5,0,4.33,-1.5,18.64,29.79,66.06,0,0.0
2024,5,kevin_magnussen,17,95516.0,,,16,shanghai,haas,18,13,7,4,0,,1,14.0,0,11.67,11.75,0,3.33,-0.08,18.64,29.79,66.06,0,0.0
2024,5,leclerc,6,94797.0,94399.0,94289.0,4,shanghai,ferrari,8,4,2,120,1,629.0,59,3.0,0,3.0,3.25,0,1.67,-0.25,18.64,29.79,66.06,0,0.0
2024,5,max_verstappen,1,94742.0,93794.0,93660.0,1,shanghai,red_bull,1,1,1,141,3,0.0,77,1.0,3,1.0,1.0,1,0.0,0.0,18.64,29.79,66.06,0,0.0
2024,5,norris,4,94842.0,94460.0,94165.0,2,shanghai,mclaren,3,5,3,69,0,505.0,37,5.0,0,5.33,5.5,0,-1.33,-0.17,18.64,29.79,66.06,0,0.0
2024,5,ocon,13,95356.0,95223.0,,11,shanghai,alpine,15,15,10,0,0,,0,18.0,0,14.67,15.25,0,1.0,-0.58,18.64,29.79,66.06,0,0.0
2024,5,perez,2,95457.0,94026.0,93982.0,3,shanghai,red_bull,2,2,1,141,3,322.0,64,2.0,0,3.0,2.75,0,0.67,0.25,18.64,29.79,66.06,0,0.0
2024,5,piastri,5,95014.0,94659.0,94273.0,8,shanghai,mclaren,6,8,3,69,0,613.0,32,6.0,0,5.33,6.0,0,0.0,-0.67,18.64,29.79,66.06,0,0.0
2024,5,ricciardo,12,95443.0,94934.0,,18,shanghai,rb,11,19,6,7,0,,0,17.0,0,14.0,13.67,0,2.0,0.33,18.64,29.79,66.06,0,0.0
2024,5,russell,8,95084.0,94609.0,94433.0,6,shanghai,mercedes,9,7,4,34,0,773.0,24,7.0,0,10.0,8.75,0,-2.33,1.25,18.64,29.79,66.06,0,0.0
2024,5,sainz,7,94970.0,94368.0,94297.0,5,shanghai,ferrari,4,3,2,120,1,637.0,55,4.0,1,2.33,2.33,0,1.0,0.0,18.64,29.79,66.06,0,0.0
2024,5,sargeant,20,96358.0,,,17,shanghai,williams,19,17,8,0,0,,0,21.0,0,17.0,17.0,0,1.67,0.0,18.64,29.79,66.06,0,0.0
2024,5,stroll,11,95334.0,94838.0,,15,shanghai,aston_martin,16,12,5,33,0,,9,10.0,0,9.0,9.33,1,3.5,-0.33,18.64,29.79,66.06,0,0.0
2024,5,tsunoda,19,95746.0,,,19,shanghai,rb,10,10,6,7,0,,7,11.0,0,10.67,11.5,0,-1.67,-0.83,18.64,29.79,66.06,0,0.0
2024,5,zhou,16,95505.0,,,14,shanghai,sauber,20,18,9,0,0,,0,16.0,0,16.5,14.67,0,3.0,1.83,18.64,29.79,66.06,0,0.0
2024,6,albon,14,88343.0,88413.0,,18,miami,williams,14,12,8,0,0,,0,15.0,0,11.5,12.25,1,1.5,-0.75,28.52,44.66,59.01,0,0.0
2024,6,alonso,15,88453.0,88427.0,,9,miami,aston_martin,3,7,5,40,0,,31,8.0,0,7.0,7.0,0,-1.0,0.0,28.52,44.66,59.01,0,0.0
2024,6,bottas,16,88463.0,,,16,miami,sauber,10,20,10,0,0,,0,20.0,0,14.0,16.0,0,-1.0,-2.0,28.52,44.66,59.01,0,0.0
2024,6,gasly,12,87976.0,88324.0,,12,miami,alpine,15,13,9,0,0,,0,19.0,0,14.0,15.0,1,2.33,-1.0,28.52,44.66,59.01,0,0.0
2024,6,hamilton,8,88167.0,87697.0,88107.0,6,miami,mercedes,18,9,4,52,0,866.0,19,9.0,0,9.0,8.5,1,3.5,0.5,28.52,44.66,59.01,0,0.0
2024,6,hulkenberg,9,88383.0,88200.0,88146.0,11,miami,haas,9,10,7,5,0,905.0,4,13.0,0,10.0,11.2,0,2.33,-1.2,28.52,44.66,59.01,0,0.0
2024,6,kevin_magnussen,19,88619.0,,,19,miami,haas,17,16,7,5,0,,1,14.0,0,13.0,12.6,0,3.33,0.4,28.52,44.66,59.01,0,0.0
2024,6,leclerc,2,88081.0,87533.0,87382.0,3,miami,ferrari,6,4,2,151,1,141.0,76,3.0,0,3.33,3.4,0,2.67,-0.07,28.52,44.66,59.01,0,0.0
2024,6,max_verstappen,1,87689.0,87566.0,87241.0,2,miami,red_bull,1,1,1,195,4,0.0,110,1.0,4,1.0,1.0,1,0.0,0.0,28.52,44.66,59.01,0,0.0
2024,6,norris,5,87913.0,87871.0,87594.0,1,miami,mclaren,4,2,3,96,0,353.0,58,5.0,0,3.33,4.8,0,0.0,-1.47,28.52,44.66,59.01,0,0.0
2024,6,ocon,13,88209.0,88371.0,,10,miami,alpine,13,11,9,0,0,,0,16.0,0,14.0,14.4,0,0.33,-0.4,28.52,44.66,59.01,0,0.0
2024,6,perez,4,87772.0,87839.0,87460.0,4,miami,red_bull,2,3,1,195,4,219.0,85,2.0,0,3.33,2.8,0,0.0,0.53,28.52,44.66,59.01,0,0.0
2024,6,piastri,6,88032.0,87721.0,87675.0,13,miami,mclaren,5,8,3,96,0,434.0,38,6.0,0,6.67,6.4,0,-1.33,0.27,28.52,44.66,59.01,0,0.0
2024,6,ricciardo,18,88617.0,,,15,miami,rb,12,18,6,7,0,,0,18.0,0,12.0,13.67,1,6.0,-1.67,28.52,44.66,59.01,0,0.0
2024,6,russell,7,88159.0,88095.0,88067.0,8,miami,mercedes,8,6,4,52,0,826.0,33,7.0,0,10.0,8.2,0,-2.0,1.8,28.52,44.66,59.01,0,0.0
2024,6,sainz,3,87937.0,87941.0,87455.0,5,miami,ferrari,7,5,2,151,1,214.0,69,4.0,1,3.0,3.0,0,1.33,0.0,28.52,44.66,59.01,0,0.0
2024,6,sargeant,17,88487.0,,,20,miami,williams,20,17,8,0,0,,0,21.0,0,16.0,17.0,0,3.33,-1.0,28.52,44.66,59.01,0,0.0
2024,6,stroll,11,88177.0,88222.0,,17,miami,aston_martin,11,15,5,40,0,,9,10.0,0,11.0,10.75,1,1.0,0.25,28.52,44.66,59.01,0,0.0
2024,6,tsunoda,10,88324.0,88167.0,88192.0,7,miami,rb,19,19,6,7,0,951.0,7,11.0,0,8.5,11.5,0,0.5,-3.0,28.52,44.66,59.01,0,0.0
2024,6,zhou,20,88824.0,,,14,miami,sauber,16,14,10,0,0,,0,17.0,0,14.5,14.5,1,3.0,0.0,28.52,44.66,59.01,0,0.0
2024,7,albon,14,76524.0,76200.0,,20,imola,williams,14,18,9,0,0,,0,17.0,0,15.0,13.0,1,-1.0,2.0,25.11,42.02,48.43,0,0.0
2024,7,alonso,19,76917.0,,,19,imola,aston_martin,15,9,5,42,0,,33,8.0,0,7.33,7.0,0,0.33,0.33,25.11,42.02,48.43,0,0.0
2024,7,bottas,16,76626.0,,,18,imola,sauber,16,16,10,0,0,,0,20.0,0,15.0,15.25,1,-0.5,-0.25,25.11,42.02,48.43,0,0.0
2024,7,gasly,15,76015.0,76381.0,,16,imola,alpine,12,12,8,1,0,,0,19.0,0,13.67,13.5,1,1.0,0.17,25.11,42.02,48.43,0,0.0
2024,7,hamilton,8,76604.0,75677.0,75504.0,6,imola,mercedes,8,6,4,64,0,758.0,27,9.0,0,8.0,8.25,1,3.0,-0.25,25.11,42.02,48.43,0,0.0
